,original_name,release_date,genres,overview,total_views,popularity,vote_average,vote_count,content
10,Sully,2016,Drama History,"On 15 January 2009, the world witnessed the 'Miracle on the Hudson' when Captain 'Sully' Sullenberger glided his disabled plane onto the frigid waters of the Hudson River, saving the lives of all 155 aboard. However, even as Sully was being heralded by the public and the media for his unprecedented feat of aviation skill, an investigation was unfolding that threatened to destroy his reputation and career.",4842,40.143,7.1,5988,"Drama History 2016 On 15 January 2009, the world witnessed the 'Miracle on the Hudson' when Captain 'Sully' Sullenberger glided his disabled plane onto the frigid waters of the Hudson River, saving the lives of all 155 aboard. However, even as Sully was being heralded by the public and the media for his unprecedented feat of aviation skill, an investigation was unfolding that threatened to destroy his reputation and career."
11,Goat,2016,Drama,"Reeling from a terrifying assault, a nineteen year old enrolls into college with his brother and pledges the same fraternity. What happens there, in the name of 'brotherhood,' tests him and his loyalty in brutal ways.",622,7.602,5.4,222,"Drama 2016 Reeling from a terrifying assault, a nineteen year old enrolls into college with his brother and pledges the same fraternity. What happens there, in the name of 'brotherhood,' tests him and his loyalty in brutal ways."
12,Last Knights,2015,Action Adventure,"When an evil emperor executes their leader, his band of knights – bound by duty and honour – embarks on a journey of vengeance that will not come to an end until they've destroyed their mortal foe.",343,17.864,6.5,886,"Action Adventure 2015 When an evil emperor executes their leader, his band of knights – bound by duty and honour – embarks on a journey of vengeance that will not come to an end until they've destroyed their mortal foe."
13,Geostorm,2017,Action Science Fiction Thriller,"After an unprecedented series of natural disasters threatened the planet, the world's leaders came together to create an intricate network of satellites to control the global climate and keep everyone safe. But now, something has gone wrong: the system built to protect Earth is attacking it, and it becomes a race against the clock to uncover the real threat before a worldwide geostorm wipes out everything and everyone along with it.",11966,63.177,6.1,3905,"Action Science Fiction Thriller 2017 After an unprecedented series of natural disasters threatened the planet, the world's leaders came together to create an intricate network of satellites to control the global climate and keep everyone safe. But now, something has gone wrong: the system built to protect Earth is attacking it, and it becomes a race against the clock to uncover the real threat before a worldwide geostorm wipes out everything and everyone along with it."
14,Trolls,2016,Animation Comedy Family Adventure Fantasy Music,"Lovable and friendly, the trolls love to play around. But one day, a mysterious giant shows up to end the party. Poppy, the optimistic leader of the Trolls, and her polar opposite, Branch, must embark on an adventure that takes them far beyond the only world they’ve ever known.",37295,75.366,6.7,3002,"Animation Comedy Family Adventure Fantasy Music 2016 Lovable and friendly, the trolls love to play around. But one day, a mysterious giant shows up to end the party. Poppy, the optimistic leader of the Trolls, and her polar opposite, Branch, must embark on an adventure that takes them far beyond the only world they’ve ever known."
15,Underworld: Awakening,2012,Action Fantasy Horror,"Having escaped years of imprisonment, vampire warrioress Selene finds herself in a changed world where humans have discovered the existence of both Vampire and Lycan clans and are conducting an all-out war to eradicate both immortal species. Now Selene must battle the humans and a frightening new breed of super Lycans to ensure the death dealers' survival.",3553,107.679,6.3,3470,"Action Fantasy Horror 2012 Having escaped years of imprisonment, vampire warrioress Selene finds herself in a changed world where humans have discovered the existence of both Vampire and Lycan clans and are conducting an all-out war to eradicate both immortal species. Now Selene must battle the humans and a frightening new breed of super Lycans to ensure the death dealers' survival."
16,Game of Aces,2016,Action Adventure War,A rescue attempt of a German traitor during World War I has unexpected consequences and sets off an adventure across the Arabian desert.,288,3.756,5.0,2,Action Adventure War 2016 A rescue attempt of a German traitor during World War I has unexpected consequences and sets off an adventure across the Arabian desert.
17,Extraterrestrial,2014,Horror Science Fiction,"Five friends set out to a cabin in the woods for a fun weekend getaway that is, until extraterrestrial visitors turn it into a fight for their lives. The group is pulled from their reverie when a flickering object crashes deep in the woods. As they investigate, the friends stumble across an alien spacecraft, and its inhabitants have not arrived in peace.",1960,16.222,5.5,397,"Horror Science Fiction 2014 Five friends set out to a cabin in the woods for a fun weekend getaway that is, until extraterrestrial visitors turn it into a fight for their lives. The group is pulled from their reverie when a flickering object crashes deep in the woods. As they investigate, the friends stumble across an alien spacecraft, and its inhabitants have not arrived in peace."
18,The Jetsons & WWE: Robo-WrestleMania!,2017,Animation Comedy Family Mystery Science Fiction,"Blast off to adventure in this animated feature where our favorite space-age family, The Jetsons, meet the superstars of WWE! When George unearths WWE’s Big Show, who has been frozen for 100 years, the futuristic face-off begins! Once thawed, Big Show wastes no time in taking the WWE belt from the current robot champ as well as taking total control of Orbit City. It’s up to The Jetsons to travel back in time and enlist help from WWE’s brightest stars: Sheamus, Alicia Fox, Roman Reigns, Seth Rollins and the Uso brothers. Can this cosmic tag-team prevail and set this twisted time-warp straight? Tune in and see with The Jetsons and WWE!",12422,10.324,8.7,26,"Animation Comedy Family Mystery Science Fiction 2017 Blast off to adventure in this animated feature where our favorite space-age family, The Jetsons, meet the superstars of WWE! When George unearths WWE’s Big Show, who has been frozen for 100 years, the futuristic face-off begins! Once thawed, Big Show wastes no time in taking the WWE belt from the current robot champ as well as taking total control of Orbit City. It’s up to The Jetsons to travel back in time and enlist help from WWE’s brightest stars: Sheamus, Alicia Fox, Roman Reigns, Seth Rollins and the Uso brothers. Can this cosmic tag-team prevail and set this twisted time-warp straight? Tune in and see with The Jetsons and WWE!"
19,Ferdinand,2017,Animation Comedy Family Adventure,"Ferdinand, a little bull, prefers sitting quietly under a cork tree just smelling the flowers versus jumping around, snorting, and butting heads with other bulls. As Ferdinand grows big and strong, his temperament remains mellow, but one day five men come to choose the ""biggest, fastest, roughest bull"" for the bullfights in Madrid and Ferdinand is mistakenly chosen.  Based on the classic 1936 children's book by Munro Leaf.",22775,95.217,7.2,2363,"Animation Comedy Family Adventure 2017 Ferdinand, a little bull, prefers sitting quietly under a cork tree just smelling the flowers versus jumping around, snorting, and butting heads with other bulls. As Ferdinand grows big and strong, his temperament remains mellow, but one day five men come to choose the ""biggest, fastest, roughest bull"" for the bullfights in Madrid and Ferdinand is mistakenly chosen.  Based on the classic 1936 children's book by Munro Leaf."
20,Monsters University,2013,Animation Family,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,1038,118.991,7.0,8980,Animation Family 2013 A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.
21,War for the Planet of the Apes,2017,Drama Science Fiction War,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.",6402,77.762,7.1,7285,"Drama Science Fiction War 2017 Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet."
22,Surf's Up,2007,Animation Comedy Family,"Cody is a surfing penguin from Shiverpool who dreams of making it big and being like his idol Big Z. On his journey, he discovers his talents are not all he thinks they are, and he must learn to accept that there is more to surfing than fame and fortune.",2561,25.163,6.3,1957,"Animation Comedy Family 2007 Cody is a surfing penguin from Shiverpool who dreams of making it big and being like his idol Big Z. On his journey, he discovers his talents are not all he thinks they are, and he must learn to accept that there is more to surfing than fame and fortune."
23,Instant Death,2017,Crime Action,"A vicious gang war for drug dominance draws in a disturbed Special Forces veteran John Bradley. Trying to adjust to normal life and haunted by inner demons of a violent past, the underworld's retribution on his last connection to humanity, a daughter and grandchild leads to a descent of fury and violence that not even the brutality of gangland is prepared for.",11203,15.215,5.7,44,"Crime Action 2017 A vicious gang war for drug dominance draws in a disturbed Special Forces veteran John Bradley. Trying to adjust to normal life and haunted by inner demons of a violent past, the underworld's retribution on his last connection to humanity, a daughter and grandchild leads to a descent of fury and violence that not even the brutality of gangland is prepared for."
24,Free Fire,2017,Crime Mystery Action,"A crime drama set in 1970s Boston, about a gun sale which goes wrong.",1397,36.988,6.3,891,"Crime Mystery Action 2017 A crime drama set in 1970s Boston, about a gun sale which goes wrong."
25,Snatched,2017,Comedy Action,"When her boyfriend dumps Emily, a spontaneous woman in her 30s, she persuades her ultra-cautious mom to accompany her on a vacation to Ecuador. When these two very different women are trapped on this wild journey, their bond as mother and daughter is tested and strengthened while they attempt to navigate the jungle and escape.",11050,20.271,5.4,695,"Comedy Action 2017 When her boyfriend dumps Emily, a spontaneous woman in her 30s, she persuades her ultra-cautious mom to accompany her on a vacation to Ecuador. When these two very different women are trapped on this wild journey, their bond as mother and daughter is tested and strengthened while they attempt to navigate the jungle and escape."
26,No Reservations,2007,Comedy Drama Romance,"Master chef Kate Armstrong runs her life and her kitchen with intimidating intensity. However, a recipe for disaster may be in the works when she becomes the guardian of her young niece while crossing forks with the brash sous-chef who just joined her staff. Though romance blooms in the face of rivalry, Kate needs to look outside the kitchen to find true happiness.",381,18.028,6.5,995,"Comedy Drama Romance 2007 Master chef Kate Armstrong runs her life and her kitchen with intimidating intensity. However, a recipe for disaster may be in the works when she becomes the guardian of her young niece while crossing forks with the brash sous-chef who just joined her staff. Though romance blooms in the face of rivalry, Kate needs to look outside the kitchen to find true happiness."
27,The Nice Guys,2016,Comedy Crime Action,A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.,1233,28.461,7.1,6382,Comedy Crime Action 2016 A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.
28,Dunkirk,2017,Drama Action War,"The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.",11772,46.392,7.5,13961,"Drama Action War 2017 The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II."
29,The Hunter's Prayer,2017,Action Thriller,An assassin forges an unlikely partnership with one of his targets: a woman seeking revenge for the murder of her family.,4927,11.551,5.7,307,Action Thriller 2017 An assassin forges an unlikely partnership with one of his targets: a woman seeking revenge for the murder of her family.
30,Puerto Ricans in Paris,2015,Comedy,"NYPD detectives Luis and Eddie visit Paris to help gorgeous French designer Colette catch the black market thief who's ripped off her new handbag design. While Luis' girlfriend Vanessa and Eddie's wife Gloria remain in New York, the hopelessly unhip odd couple stumble through a glamorous high-fashion world brimming with charming cafes, wild nightclubs and corporate treachery.",1926,7.906,5.7,29,"Comedy 2015 NYPD detectives Luis and Eddie visit Paris to help gorgeous French designer Colette catch the black market thief who's ripped off her new handbag design. While Luis' girlfriend Vanessa and Eddie's wife Gloria remain in New York, the hopelessly unhip odd couple stumble through a glamorous high-fashion world brimming with charming cafes, wild nightclubs and corporate treachery."
31,All the Boys Love Mandy Lane,2006,Mystery Horror Thriller,"Beautiful Mandy Lane isn't a party girl but, when classmate Chloe invites the Texas high school student to a bash in the countryside, she reluctantly accepts. After hitching a ride with a vaguely scary older man, the teens arrive at their destination. Partying ensues, and Mandy's close pal, Emmet, keeps a watchful eye on the young males making a play for Mandy. Then two of the students are murdered.",298,12.913,5.5,505,"Mystery Horror Thriller 2006 Beautiful Mandy Lane isn't a party girl but, when classmate Chloe invites the Texas high school student to a bash in the countryside, she reluctantly accepts. After hitching a ride with a vaguely scary older man, the teens arrive at their destination. Partying ensues, and Mandy's close pal, Emmet, keeps a watchful eye on the young males making a play for Mandy. Then two of the students are murdered."
32,Soul Men,2008,Comedy Music,"Two former backup soul singers, Louis and Floyd, have not spoken to each other in 20 years, and reluctantly agree to travel across the country together to a reunion concert to honor their recently-deceased lead singer. Cleo, a beautiful young woman who is believed to be Floyd's daughter, accompanies them as a new singer.",108,11.723,6.1,122,"Comedy Music 2008 Two former backup soul singers, Louis and Floyd, have not spoken to each other in 20 years, and reluctantly agree to travel across the country together to a reunion concert to honor their recently-deceased lead singer. Cleo, a beautiful young woman who is believed to be Floyd's daughter, accompanies them as a new singer."
33,Baby Driver,2017,Crime Action,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",1817,129.912,7.5,13107,"Crime Action 2017 After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
34,Total Recall,2012,Action Adventure Science Fiction Thriller,"Welcome to Rekall, the company that can turn your dreams into real memories. For a factory worker named Douglas Quaid, even though he's got a beautiful wife who he loves, the mind-trip sounds like the perfect vacation from his frustrating life - real memories of life as a super-spy might be just what he needs. But when the procedure goes horribly wrong, Quaid becomes a hunted man. Finding himself on the run from the police - controlled by Chancellor Cohaagen, the leader of the free world - Quaid teams up with a rebel fighter to find the head of the underground resistance and stop Cohaagen. The line between fantasy and reality gets blurred and the fate of his world hangs in the balance as Quaid discovers his true identity, his true love, and his true fate.",3470,89.16,6.0,4637,"Action Adventure Science Fiction Thriller 2012 Welcome to Rekall, the company that can turn your dreams into real memories. For a factory worker named Douglas Quaid, even though he's got a beautiful wife who he loves, the mind-trip sounds like the perfect vacation from his frustrating life - real memories of life as a super-spy might be just what he needs. But when the procedure goes horribly wrong, Quaid becomes a hunted man. Finding himself on the run from the police - controlled by Chancellor Cohaagen, the leader of the free world - Quaid teams up with a rebel fighter to find the head of the underground resistance and stop Cohaagen. The line between fantasy and reality gets blurred and the fate of his world hangs in the balance as Quaid discovers his true identity, his true love, and his true fate."
35,Collateral Beauty,2016,Drama Romance,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",22449,43.545,7.3,4843,"Drama Romance 2016 Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty."
36,Assassin's Creed,2016,Action Adventure Science Fiction,"Through unlocked genetic memories that allow him to relive the adventures of his ancestor in 15th century Spain, Callum Lynch discovers he's a descendant of the secret 'Assassins' society. After gaining incredible knowledge and skills, he is now poised to take on the oppressive Knights Templar in the present day.",5894,55.391,5.4,6775,"Action Adventure Science Fiction 2016 Through unlocked genetic memories that allow him to relive the adventures of his ancestor in 15th century Spain, Callum Lynch discovers he's a descendant of the secret 'Assassins' society. After gaining incredible knowledge and skills, he is now poised to take on the oppressive Knights Templar in the present day."
37,The Girl on the Train,2016,Crime Drama Mystery Thriller,"Rachel Watson, devastated by her recent divorce, spends her daily commute fantasizing about the seemingly perfect couple who live in a house that her train passes every day, until one morning she sees something shocking happen there and becomes entangled in the mystery that unfolds.",2461,48.976,6.4,4977,"Crime Drama Mystery Thriller 2016 Rachel Watson, devastated by her recent divorce, spends her daily commute fantasizing about the seemingly perfect couple who live in a house that her train passes every day, until one morning she sees something shocking happen there and becomes entangled in the mystery that unfolds."
38,Finding Forrester,2000,Drama,Gus Van Sant tells the story of a young African American man named Jamal who confronts his talents while living on the streets of the Bronx. He accidentally runs into an old writer named Forrester who discovers his passion for writing. With help from his new mentor Jamal receives a scholarship to a private school.,2824,16.578,7.1,867,Drama 2000 Gus Van Sant tells the story of a young African American man named Jamal who confronts his talents while living on the streets of the Bronx. He accidentally runs into an old writer named Forrester who discovers his passion for writing. With help from his new mentor Jamal receives a scholarship to a private school.
39,Batman and Harley Quinn,2017,Animation Action Adventure Science Fiction,"Batman and Nightwing are forced to team with the Joker's sometimes-girlfriend Harley Quinn to stop a global threat brought about by Poison Ivy and Jason Woodrue, the Floronic Man.",1079,30.96,6.2,478,"Animation Action Adventure Science Fiction 2017 Batman and Nightwing are forced to team with the Joker's sometimes-girlfriend Harley Quinn to stop a global threat brought about by Poison Ivy and Jason Woodrue, the Floronic Man."
40,Inside Man,2006,Crime Drama Thriller,"When an armed, masked gang enter a Manhattan bank, lock the doors and take hostages, the detective assigned to effect their release enters negotiations preoccupied with corruption charges he is facing.",4884,26.107,7.4,4661,"Crime Drama Thriller 2006 When an armed, masked gang enter a Manhattan bank, lock the doors and take hostages, the detective assigned to effect their release enters negotiations preoccupied with corruption charges he is facing."
41,Premium Rush,2012,Crime Action Thriller,"In Manhattan, a bike messenger picks up an envelope that attracts the interest of a dirty cop, who pursues the cyclist throughout the city.",1456,21.809,6.3,1743,"Crime Action Thriller 2012 In Manhattan, a bike messenger picks up an envelope that attracts the interest of a dirty cop, who pursues the cyclist throughout the city."
42,Why Did I Get Married Too?,2010,Comedy Romance,Four couples reunite for their annual vacation in order to socialize and to spend time analyzing their marriages. Their intimate week in the Bahamas is disrupted by the arrival of an ex-husband determined to win back his recently remarried wife.,2755,11.854,6.4,113,Comedy Romance 2010 Four couples reunite for their annual vacation in order to socialize and to spend time analyzing their marriages. Their intimate week in the Bahamas is disrupted by the arrival of an ex-husband determined to win back his recently remarried wife.
43,Rebel in the Rye,2017,Drama Romance,"The life of celebrated but reclusive author, J.D. Salinger, who gained worldwide fame with the publication of his novel, The Catcher in the Rye.",8908,12.462,6.7,193,"Drama Romance 2017 The life of celebrated but reclusive author, J.D. Salinger, who gained worldwide fame with the publication of his novel, The Catcher in the Rye."
44,Broken Vows,2016,Thriller,"On her bachelorette-party weekend with friends in New Orleans, Tara falls for the darkly-sexy bartender Patrick. Waking in his bed the next morning, Tara instantly regrets her unfaithfulness and flies back home to her fiancé. But her secret flame becomes a full-on fire when Patrick shows up at her house and begins stalking her every move. He spirals into madness and delusion, determined to have Tara no matter what the cost.",20255,9.527,5.2,83,"Thriller 2016 On her bachelorette-party weekend with friends in New Orleans, Tara falls for the darkly-sexy bartender Patrick. Waking in his bed the next morning, Tara instantly regrets her unfaithfulness and flies back home to her fiancé. But her secret flame becomes a full-on fire when Patrick shows up at her house and begins stalking her every move. He spirals into madness and delusion, determined to have Tara no matter what the cost."
45,Rings,2017,Horror,"Julia becomes worried about her boyfriend, Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",13539,57.86,5.0,2224,"Horror 2017 Julia becomes worried about her boyfriend, Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before."
46,My Cousin Rachel,2017,Drama Romance,"A young Englishman plots revenge against his mysterious, beautiful cousin, believing that she murdered his guardian. But his feelings become complicated as he finds himself falling under the beguiling spell of her charms.",1254,27.198,5.7,479,"Drama Romance 2017 A young Englishman plots revenge against his mysterious, beautiful cousin, believing that she murdered his guardian. But his feelings become complicated as he finds himself falling under the beguiling spell of her charms."
47,The Founder,2016,Drama History,"The true story of how Ray Kroc, a salesman from Illinois, met Mac and Dick McDonald, who were running a burger operation in 1950s Southern California. Kroc was impressed by the brothers’ speedy system of making the food and saw franchise potential. He maneuvered himself into a position to be able to pull the company from the brothers and create a billion-dollar empire.",2372,42.588,7.1,3899,"Drama History 2016 The true story of how Ray Kroc, a salesman from Illinois, met Mac and Dick McDonald, who were running a burger operation in 1950s Southern California. Kroc was impressed by the brothers’ speedy system of making the food and saw franchise potential. He maneuvered himself into a position to be able to pull the company from the brothers and create a billion-dollar empire."
48,Gifted,2017,Comedy Drama Family,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",2926,59.932,8.1,4333,"Comedy Drama Family 2017 Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother."
49,The Adventures of Petey and Friends,2016,Animation Comedy Adventure,"Desert Sky Air Force Base is instructed to carry out an urgent mission. Petey, a new fighter plane, arrives by forced landing. Petey is determined to carry out the most important task by himself and rescue his best friend.",40714,6.067,8.0,2,"Animation Comedy Adventure 2016 Desert Sky Air Force Base is instructed to carry out an urgent mission. Petey, a new fighter plane, arrives by forced landing. Petey is determined to carry out the most important task by himself and rescue his best friend."
50,Big Daddy,1999,Comedy Drama,"A lazy law school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.",835,27.96,6.4,2652,"Comedy Drama 1999 A lazy law school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father."
51,Roadkill,2011,Horror TV Movie Thriller,Six young friends on a road trip in Ireland run afoul of gypsies who curse them for accidentally running down an old woman. The curse takes the form of a terrifying flying beast that tries killing them all.,1392,6.854,5.8,48,Horror TV Movie Thriller 2011 Six young friends on a road trip in Ireland run afoul of gypsies who curse them for accidentally running down an old woman. The curse takes the form of a terrifying flying beast that tries killing them all.
52,101 Dalmatians,1996,Comedy Family,"An evil, high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.",418,100.036,5.9,2803,"Comedy Family 1996 An evil, high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess."
53,Desert Dancer,2014,Drama,"Inspirational true story of Iranian dancer Afshin Ghaffarian, who risked his life for his dream to become a dancer despite a nationwide dancing ban.",167,4.418,7.0,43,"Drama 2014 Inspirational true story of Iranian dancer Afshin Ghaffarian, who risked his life for his dream to become a dancer despite a nationwide dancing ban."
54,24: Live Another Day,2014,Action & Adventure Crime Drama,Jack Bauer comes out of hiding in London to stop a huge terrorist attack on British soil.,2602,4.474,7.6,41,Action & Adventure Crime Drama 2014 Jack Bauer comes out of hiding in London to stop a huge terrorist attack on British soil.
55,Captain Underpants: The First Epic Movie,2017,Animation Comedy Family Action,"Two mischievous kids hypnotize their mean elementary school principal and turn him into their comic book creation, the kind-hearted and elastic-banded Captain Underpants.",9219,42.968,6.2,958,"Animation Comedy Family Action 2017 Two mischievous kids hypnotize their mean elementary school principal and turn him into their comic book creation, the kind-hearted and elastic-banded Captain Underpants."
56,Zombieland,2009,Comedy Horror,"Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other.",2977,107.0,7.3,10313,"Comedy Horror 2009 Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other."
57,The Holiday,2006,Comedy Romance,"Two women, one from the United States and one from the United Kingdom, swap homes at Christmastime after bad breakups with their boyfriends. Each woman finds romance with a local man but realizes that the imminent return home may end the relationship.",1839,26.706,7.1,4085,"Comedy Romance 2006 Two women, one from the United States and one from the United Kingdom, swap homes at Christmastime after bad breakups with their boyfriends. Each woman finds romance with a local man but realizes that the imminent return home may end the relationship."
58,Paris Can Wait,2016,Comedy Drama Romance,"A woman at a crossroads traveling to Cannes along with her successful film producer husband, finds herself on a two-day road trip with his business associate. What follows is a carefree journey replete with diversions involving picturesque sites, fine food and wine, humor, wisdom and romance - reawakening Anne's senses and a new lust for life.",2350,13.689,5.8,192,"Comedy Drama Romance 2016 A woman at a crossroads traveling to Cannes along with her successful film producer husband, finds herself on a two-day road trip with his business associate. What follows is a carefree journey replete with diversions involving picturesque sites, fine food and wine, humor, wisdom and romance - reawakening Anne's senses and a new lust for life."
59,Unforgettable,2017,Drama Thriller,"Julia moves in with her fiancé, David, but his ex-wife and her own haunting past join forces to rock her quiet suburban existence.",23412,39.082,5.8,542,"Drama Thriller 2017 Julia moves in with her fiancé, David, but his ex-wife and her own haunting past join forces to rock her quiet suburban existence."
60,Burnt,2015,Drama,"Adam Jones is a Chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.",938,14.196,6.5,2771,"Drama 2015 Adam Jones is a Chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars."
